0.000000	3,2,7,8,3,2,3,2,2,2,6,2
0.001000	3,2,7,8,3,2,3,2,2,2,6,2
0.002000	2,7,2,2,2,2,2,2,7,8,3,3,2,3,2,2,2,2
0.003000	2,7,2,2,2,2,2,2,7,8,3,3,2,3,2,2,2,2
0.004000	2,2,2,11,2,2,3,2,2,3,2,3,2,7,8,3,2,2,2,4,2,2
0.005000	2,2,2,11,2,2,3,2,2,3,2,3,2,7,8,3,2,2,2,4,2,2
0.006000	2,2,2,2,13,3,2,2,3,2,2,3,3,2,2,7,8,3,2,2,2,2,2,4
0.007000	2,2,2,2,16,2,2,3,2,2,3,3,2,2,7,8,3,2,2,2,2,2,5
0.008000	2,2,2,2,5,2,2,2,2,2,18,3,2,3,2,2,2,3,2,2,7,8,3,2,2,2,2,2,2
0.009000	2,2,2,2,5,2,2,2,2,2,2,3,20,2,2,2,3,2,2,2,2,3,3,2,2,2,7,9,2,2,2,2,2,2
0.010000	2,2,2,2,5,2,2,2,2,2,2,3,20,2,2,2,3,2,2,2,2,3,3,2,2,2,7,9,2,3,2,2,2,2
0.011000	2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,20,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,7,9,2,3,2,2
0.012000	2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,20,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,7,9,2,3,2,2
0.013000	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,20,2,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,5,2,3,2,2,2,2,2,2,7,9,3,2,2
0.014000	2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,20,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,3,2,2,5,2,3,3,2,2,2,2,2,7,9,2,3,2
0.015000	2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,20,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,3,2,2,2,2,3,2,3,2,2,3,3,3,2,3,3,2,2,2,2,2,8,9,2,2
0.016000	2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,20,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,3,2,3,2,2,3,2,2,3,5,2,3,3,2,3,2,4,2,2,2,2,2,8,9,2
0.017000	2,2,2,3,2,2,2,3,2,2,4,2,2,2,2,2,2,3,2,2,2,5,2,2,2,2,2,3,2,2,2,3,2,3,3,2,2,2,2,2,2,2,20,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,4,2,2,2,2,3,2,2,3,2,3,3,3,2,3,5,4,3,2,2,4,2,2,2,3,2,8,9,2,2
0.018000	2,3,2,2,2,2,2,2,3,2,4,2,3,2,2,2,4,2,2,2,2,2,2,3,2,2,5,2,2,2,2,3,2,2,3,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,20,2,3,3,2,2,2,2,3,2,2,2,3,2,2,3,2,4,2,2,2,2,3,2,2,2,3,3,3,3,2,3,5,2,2,3,2,2,4,2,2,2,3,2,8,2,9,2
