0.000000	747
0.001000	2731
0.002000	2893
0.003000	2338
0.004000	1681
0.005000	1253
0.006000	971
0.007000	730
0.008000	577
0.009000	463
0.010000	381
0.011000	318
0.012000	277
0.013000	238
0.014000	221
0.015000	202
0.016000	176
0.017000	167
0.018000	150
0.019000	147
0.020000	133
0.021000	126
0.022000	110
0.023000	102
0.024000	97
0.025000	93
0.026000	95
0.027000	92
0.028000	87
0.029000	84
0.030000	81
0.031000	80
0.032000	78
0.033000	75
0.034000	70
0.035000	67
0.036000	64
0.037000	63
0.038000	63
0.039000	63
0.040000	55
0.041000	51
0.042000	48
0.043000	43
0.044000	43
0.046000	43
0.048000	43
0.049000	41
0.050000	39
0.051000	39
0.053000	34
0.054000	33
0.055000	33
0.056000	32
0.057000	30
0.059000	31
0.060000	29
0.061000	27
0.064000	26
0.066000	26
0.067000	26
0.068000	26
0.069000	26
0.070000	26
0.071000	26
0.072000	24
0.073000	23
0.077000	24
0.084000	23
0.087000	20
0.094000	19
0.098000	19
0.099000	18
0.100000	16
0.101000	16
0.103000	16
0.104000	15
0.107000	15
0.126000	15
0.129000	15
0.130000	13
0.136000	13
0.138000	12
0.140000	11
0.144000	11
0.145000	10
0.151000	9
0.157000	9
0.163000	8
0.170000	7
0.199000	6
0.205000	5
0.224000	5
0.259000	3
0.269000	3
0.320000	3
0.389000	1
